,Year,Phase,home_team,home_gdp,home_population,home_oddset,home_fifa_rank,away_team,away_gdp,away_population,away_oddset,away_fifa_rank,result
0,2022,A,QAT,89969,289,35000,58,ECU,10896,1765,15000,53,0
1,2022,A,SEN,3503,1675,8000,22,NED,10926,10,200000,16,0
2,2022,B,ENG,10926,10,200000,4,IRN,13339,8400,50000,31,0
3,2022,B,USA,63594,33101,10000,20,UKR,13055,4374,25000,24,0
4,2022,D,FRA,46984,6528,550,2,UAE,10926,10,200000,73,0
5,2022,D,DEN,10926,10,200000,10,TUN,10823,1182,35000,26,0
6,2022,C,MEX,18445,12894,15000,11,POL,34241,3785,12500,21,0
7,2022,C,ARG,20771,4520,900,8,KSA,10926,10,200000,65,0
8,2022,F,BEL,53035,1159,1200,1,CAN,46612,3775,15000,70,0
9,2022,E,ESP,37766,4676,800,6,CRC,10926,10,200000,50,0
10,2022,E,GER,10926,10,200000,12,JPN,42391,12648,25000,28,0
11,2022,F,MAR,7370,3692,25000,34,CRO,10926,10,200000,14,0
12,2022,G,SWE,55038,1010,200000,18,CMR,3868,2655,20000,55,0
13,2022,H,URU,10926,10,200000,9,KOR,45275,5127,25000,39,0
14,2022,H,POR,10926,10,200000,5,GHA,5745,3108,25000,49,0
15,2022,G,BRA,14836,21256,450,3,SRB,19108,874,15000,25,0
16,2022,B,IRN,13339,8400,50000,31,UKR,13055,4374,25000,24,0
17,2022,A,QAT,89969,289,35000,58,SEN,3503,1675,8000,22,0
18,2022,A,NED,10926,10,200000,16,ECU,10896,1765,15000,53,0
19,2022,B,ENG,10926,10,200000,4,USA,63594,33101,10000,20,0
20,2022,D,TUN,10823,1182,35000,26,UAE,10926,10,200000,73,0
21,2022,C,POL,34241,3785,12500,21,KSA,10926,10,200000,65,0
22,2022,D,FRA,46984,6528,550,2,DEN,10926,10,200000,10,0
23,2022,C,ARG,20771,4520,900,8,MEX,18445,12894,15000,11,0
24,2022,E,JPN,42391,12648,25000,28,CRC,10926,10,200000,50,0
25,2022,F,BEL,53035,1159,1200,1,MAR,7370,3692,25000,34,0
26,2022,F,CRO,10926,10,200000,14,CAN,46612,3775,15000,70,0
27,2022,E,ESP,37766,4676,800,6,GER,10926,10,200000,12,0
28,2022,G,SRB,19108,874,15000,25,CMR,3868,2655,20000,55,0
29,2022,H,KOR,45275,5127,25000,39,GHA,5745,3108,25000,49,0
30,2022,G,BRA,14836,21256,450,3,SWE,55038,1010,200000,18,0
31,2022,H,POR,10926,10,200000,5,URU,10926,10,200000,9,0
32,2022,B,ENG,10926,10,200000,4,UKR,13055,4374,25000,24,0
33,2022,B,IRN,13339,8400,50000,31,USA,63594,33101,10000,20,0
34,2022,A,ECU,10896,1765,15000,53,SEN,3503,1675,8000,22,0
35,2022,A,NED,10926,10,200000,16,QAT,89969,289,35000,58,0
36,2022,D,DEN,10926,10,200000,10,UAE,10926,10,200000,73,0
37,2022,D,TUN,10823,1182,35000,26,FRA,46984,6528,550,2,0
38,2022,C,POL,34241,3785,12500,21,ARG,20771,4520,900,8,0
39,2022,C,KSA,10926,10,200000,65,MEX,18445,12894,15000,11,0
40,2022,F,CRO,10926,10,200000,14,BEL,53035,1159,1200,1,0
41,2022,F,CAN,46612,3775,15000,70,MAR,7370,3692,25000,34,0
42,2022,E,JPN,42391,12648,25000,28,ESP,37766,4676,800,6,0
43,2022,E,CRC,10926,10,200000,50,GER,10926,10,200000,12,0
44,2022,H,GHA,5745,3108,25000,49,URU,10926,10,200000,9,0
45,2022,H,KOR,45275,5127,25000,39,POR,10926,10,200000,5,0
46,2022,G,SRB,19108,874,15000,25,SWE,55038,1010,200000,18,0
47,2022,G,BRA,14836,21256,450,3,CMR,3868,2655,20000,55,0
