,Year Factor,Time Factor,Home Team Name,Home Team Points,Away Team Points,Away Team Name,Extra Condition,Referee Nationality
0,1930,afternoon,FRA,4,1,MEX,Null,URU
1,1930,afternoon,USA,3,0,BEL,Null,ARG
2,1930,afternoon,YUG,2,1,BRA,Null,URU
3,1930,afternoon,ROU,3,1,PER,Null,CHI
4,1930,afternoon,ARG,1,0,FRA,Null,BRA
5,1930,afternoon,CHI,3,0,MEX,Null,BEL
6,1930,afternoon,YUG,4,0,BOL,Null,URU
7,1930,afternoon,USA,3,0,PAR,Null,ARG
8,1930,afternoon,URU,1,0,PER,Null,BEL
9,1930,afternoon,CHI,1,0,FRA,Null,URU
10,1930,afternoon,ARG,6,3,MEX,Null,BOL
11,1930,afternoon,BRA,4,0,BOL,Null,FRA
12,1930,afternoon,PAR,1,0,BEL,Null,URU
13,1930,afternoon,URU,4,0,ROU,Null,BRA
14,1930,afternoon,ARG,3,1,CHI,Null,BEL
15,1930,afternoon,ARG,6,1,USA,Null,BEL
16,1930,afternoon,URU,6,1,YUG,Null,BRA
17,1930,afternoon,URU,4,2,ARG,Null,BEL
18,1934,afternoon,AUT,3,2,FRA,Extra,NED
19,1934,afternoon,HUN,4,2,EGY,Null,ITA
20,1934,afternoon,SUI,3,2,NED,Null,SWE
21,1934,afternoon,SWE,3,2,ARG,Null,AUT
22,1934,afternoon,GER,5,2,BEL,Null,ITA
23,1934,afternoon,ESP,3,1,BRA,Null,GER
24,1934,afternoon,ITA,7,1,USA,Null,SUI
25,1934,afternoon,TCH,2,1,ROU,Null,BEL
26,1934,afternoon,TCH,3,2,SUI,Null,AUT
27,1934,afternoon,GER,2,1,SWE,Null,ITA
28,1934,afternoon,ITA,1,1,ESP,Null,BEL
29,1934,afternoon,AUT,2,1,HUN,Null,ITA
30,1934,afternoon,ITA,1,0,ESP,Null,SUI
31,1934,afternoon,ITA,1,0,AUT,Null,SWE
32,1934,afternoon,TCH,3,1,GER,Null,ITA
33,1934,dusk,GER,3,2,AUT,Null,ITA
34,1934,dusk,ITA,2,1,TCH,Extra,SWE
35,1938,dusk,SUI,1,1,GER,Null,BEL
36,1938,dusk,HUN,6,0,INH,Null,FRA
37,1938,dusk,FRA,3,1,BEL,Null,SUI
38,1938,dusk,CUB,3,3,ROU,Null,ITA
39,1938,dusk,ITA,2,1,NOR,Extra,AUT
40,1938,dusk,BRA,6,5,POL,Extra,SWE
41,1938,dusk,TCH,3,0,NED,Extra,FRA
42,1938,dusk,CUB,2,1,ROU,Null,GER
43,1938,dusk,SUI,4,2,GER,Null,SWE
44,1938,dusk,BRA,1,1,TCH,Null,HUN
45,1938,dusk,HUN,2,0,SUI,Null,ITA
46,1938,dusk,SWE,8,0,CUB,Null,TCH
47,1938,dusk,ITA,3,1,FRA,Null,BEL
48,1938,dusk,BRA,2,1,TCH,Null,FRA
49,1938,dusk,HUN,5,1,SWE,Null,FRA
50,1938,dusk,ITA,2,1,BRA,Null,SUI
51,1938,dusk,BRA,4,2,SWE,Null,BEL
52,1938,dusk,ITA,4,2,HUN,Null,FRA
53,1950,afternoon,BRA,4,0,MEX,Null,ENG
54,1950,afternoon,ENG,2,0,CHI,Null,NED
55,1950,afternoon,ESP,3,1,USA,Null,BRA
56,1950,afternoon,SWE,3,2,ITA,Null,SUI
57,1950,afternoon,YUG,3,0,SUI,Null,ITA
58,1950,afternoon,BRA,2,2,SUI,Null,ESP
59,1950,afternoon,YUG,4,1,MEX,Null,ENG
60,1950,afternoon,ESP,2,0,CHI,Null,BRA
61,1950,afternoon,SWE,2,2,PAR,Null,SCO
62,1950,afternoon,USA,1,0,ENG,Null,ITA
63,1950,afternoon,BRA,2,0,YUG,Null,WAL
64,1950,afternoon,ESP,1,0,ENG,Null,ITA
65,1950,afternoon,ITA,2,0,PAR,Null,ENG
66,1950,afternoon,URU,8,0,BOL,Null,ENG
67,1950,afternoon,SUI,2,1,MEX,Null,SWE
68,1950,afternoon,CHI,5,2,USA,Null,BRA
69,1950,afternoon,URU,2,2,ESP,Null,WAL
70,1950,afternoon,BRA,7,1,SWE,Null,ENG
71,1950,afternoon,BRA,6,1,ESP,Null,ENG
72,1950,afternoon,URU,3,2,SWE,Null,ITA
73,1950,afternoon,SWE,3,1,ESP,Null,NED
74,1950,afternoon,URU,2,1,BRA,Null,ENG
75,1954,dusk,URU,2,0,TCH,Null,ENG
76,1954,dusk,AUT,1,0,SCO,Null,BEL
77,1954,dusk,BRA,5,0,MEX,Null,SUI
78,1954,dusk,YUG,1,0,FRA,Null,WAL
79,1954,dusk,FRG,4,1,TUR,Null,POR
80,1954,dusk,HUN,9,0,KOR,Null,FRA
81,1954,dusk,ENG,4,4,BEL,Null,FRG
82,1954,dusk,SUI,2,1,ITA,Null,BRA
83,1954,afternoon,URU,7,0,SCO,Null,ITA
84,1954,dusk,AUT,5,0,TCH,Null,YUG
85,1954,dusk,FRA,3,2,MEX,Null,ESP
86,1954,dusk,BRA,1,1,YUG,Null,SCO
87,1954,afternoon,HUN,8,3,FRG,Null,ENG
88,1954,dusk,TUR,7,0,KOR,Null,URU
89,1954,dusk,ENG,2,0,SUI,Null,HUN
90,1954,dusk,ITA,4,1,BEL,Null,AUT
91,1954,dusk,FRG,7,2,TUR,Null,FRA
92,1954,dusk,SUI,4,1,ITA,Null,WAL
93,1954,dusk,URU,4,2,ENG,Null,AUT
94,1954,dusk,AUT,7,5,SUI,Null,SCO
95,1954,dusk,FRG,2,0,YUG,Null,HUN
96,1954,dusk,HUN,4,2,BRA,Null,ENG
97,1954,dusk,FRG,6,1,AUT,Null,ITA
98,1954,dusk,HUN,4,2,URU,Extra,WAL
99,1954,dusk,AUT,3,1,URU,Null,SUI
100,1954,dusk,FRG,3,2,HUN,Null,ENG
101,1958,afternoon,SWE,3,0,MEX,Null,URS
102,1958,night,URS,2,2,ENG,Null,HUN
103,1958,night,ARG,1,3,FRG,Null,ENG
104,1958,night,HUN,1,1,WAL,Null,URU
105,1958,night,FRA,7,3,PAR,Null,ESP
106,1958,night,YUG,1,1,SCO,Null,SUI
107,1958,night,BRA,3,0,AUT,Null,FRA
108,1958,night,NIR,1,0,TCH,Null,AUT
109,1958,night,BRA,0,0,ENG,Null,GER
110,1958,night,MEX,1,1,WAL,Null,YUG
111,1958,night,PAR,3,2,SCO,Null,ITA
112,1958,night,YUG,3,2,FRA,Null,WAL
113,1958,night,URS,2,0,AUT,Null,DEN
114,1958,night,FRG,2,2,TCH,Null,ENG
115,1958,night,ARG,3,1,NIR,Null,SWE
116,1958,night,SWE,2,1,HUN,Null,SCO
117,1958,afternoon,SWE,0,0,WAL,Null,BEL
118,1958,night,BRA,2,0,URS,Null,FRA
119,1958,night,FRG,2,2,NIR,Null,POR
120,1958,night,HUN,4,0,MEX,Null,FIN
121,1958,night,PAR,3,3,YUG,Null,TCH
122,1958,night,FRA,2,1,SCO,Null,ARG
123,1958,night,ENG,2,2,AUT,Null,NED
124,1958,night,TCH,6,1,ARG,Null,ENG
125,1958,night,URS,1,0,ENG,Null,GER
126,1958,night,NIR,2,1,TCH,Extra,FRA
127,1958,night,WAL,2,1,HUN,Null,URS
128,1958,night,BRA,1,0,WAL,Null,AUT
129,1958,night,FRG,1,0,YUG,Null,SUI
130,1958,night,SWE,2,0,URS,Null,ENG
131,1958,night,FRA,4,0,NIR,Null,ESP
132,1958,night,SWE,3,1,FRG,Null,HUN
133,1958,night,BRA,5,2,FRA,Null,WAL
134,1958,dusk,FRA,6,3,FRG,Null,ARG
135,1958,afternoon,BRA,5,2,SWE,Null,FRA
136,1962,afternoon,URU,2,1,COL,Null,HUN
137,1962,afternoon,BRA,2,0,MEX,Null,SUI
138,1962,afternoon,ARG,1,0,BUL,Null,ESP
139,1962,afternoon,CHI,3,1,SUI,Null,ENG
140,1962,afternoon,URS,2,0,YUG,Null,GER
141,1962,afternoon,TCH,1,0,ESP,Null,AUT
142,1962,afternoon,HUN,2,1,ENG,Null,NED
143,1962,afternoon,FRG,0,0,ITA,Null,SCO
144,1962,afternoon,YUG,3,1,URU,Null,TCH
