,Year,home_team,home_gdp,home_population,home_oddset,home_fifa_rank,home_host,away_team,away_gdp,away_population,away_oddset,away_fifa_rank,away_host,home_goal,away_goal,win_point,result
0,1930,FRA,46984,6528,550,2,0,MEX,18445,12894,15000,11,0,4,1,3,1
1,1930,USA,63594,33101,10000,20,0,BEL,53035,1159,1200,1,0,3,0,3,1
2,1930,ROU,32117,1924,200000,43,0,PER,11879,3298,20000,27,0,3,1,2,1
3,1930,ARG,20771,4520,900,8,0,FRA,46984,6528,550,2,0,1,0,1,1
4,1930,ARG,20771,4520,900,8,0,MEX,18445,12894,15000,11,0,6,3,3,1
5,1930,BRA,14836,21256,450,3,0,BOL,8276,1168,200000,81,0,4,0,4,1
6,1930,ARG,20771,4520,900,8,0,USA,63594,33101,10000,20,0,6,1,5,1
7,1934,AUT,55684,901,200000,23,0,FRA,46984,6528,550,2,0,3,2,1,1
8,1934,HUN,33078,967,200000,37,0,EGY,12608,10234,200000,46,0,4,2,2,1
9,1934,SWE,55038,1010,200000,18,0,ARG,20771,4520,900,8,0,3,2,1,1
10,1934,ESP,37766,4676,800,6,0,BRA,14836,21256,450,3,0,3,1,2,1
11,1934,ITA,41829,6047,200000,7,1,USA,63594,33101,10000,20,0,7,1,6,1
12,1934,ITA,41829,6047,200000,7,1,ESP,37766,4676,800,6,0,1,1,0,0
13,1934,AUT,55684,901,200000,23,0,HUN,33078,967,200000,37,0,2,1,1,1
14,1934,ITA,41829,6047,200000,7,1,ESP,37766,4676,800,6,0,1,0,1,1
15,1934,ITA,41829,6047,200000,7,1,AUT,55684,901,200000,23,0,1,0,1,1
16,1938,FRA,46984,6528,550,2,1,BEL,53035,1159,1200,1,0,3,1,2,1
17,1938,ITA,41829,6047,200000,7,0,NOR,62645,543,200000,42,0,2,1,1,1
18,1938,BRA,14836,21256,450,3,0,POL,34241,3785,12500,21,0,6,5,1,1
19,1938,ITA,41829,6047,200000,7,0,FRA,46984,6528,550,2,1,3,1,2,1
20,1938,HUN,33078,967,200000,37,0,SWE,55038,1010,200000,18,0,5,1,4,1
21,1938,ITA,41829,6047,200000,7,0,BRA,14836,21256,450,3,0,2,1,1,1
22,1938,BRA,14836,21256,450,3,0,SWE,55038,1010,200000,18,0,4,2,2,1
23,1938,ITA,41829,6047,200000,7,0,HUN,33078,967,200000,37,0,4,2,2,1
24,1950,BRA,14836,21256,450,3,1,MEX,18445,12894,15000,11,0,4,0,4,1
25,1950,ESP,37766,4676,800,6,0,USA,63594,33101,10000,20,0,3,1,2,1
26,1950,SWE,55038,1010,200000,18,0,ITA,41829,6047,200000,7,0,3,2,1,1
27,1950,BRA,14836,21256,450,3,1,SWE,55038,1010,200000,18,0,7,1,6,1
28,1950,BRA,14836,21256,450,3,1,ESP,37766,4676,800,6,0,6,1,5,1
