id,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
43842,144,Yemen,YEM,1071,1071,0,AFC,2020/2/20
43814,143,Hong Kong,HKG,1072,1073,2,AFC,2020/2/20
43980,141,Solomon Islands,SOL,1073,1073,0,OFC,2020/2/20
43919,141,Suriname,SUR,1073,1073,0,CONCACAF,2020/2/20
43829,136,Myanmar,MYA,1081,1081,0,AFC,2020/2/20
43864,139,Lesotho,LES,1074,1074,0,CAF,2020/2/20
43813,138,Chinese Taipei,TPE,1078,1078,0,AFC,2020/2/20
43955,137,Latvia,LVA,1079,1079,0,UEFA,2020/2/20
43916,139,St. Kitts and Nevis,SKN,1074,1074,0,CONCACAF,2020/2/20
43856,145,Equatorial Guinea,EQG,1066,1066,0,CAF,2020/2/20
43836,157,Singapore,SIN,1020,1020,0,AFC,2020/2/20
43823,147,Kuwait,KUW,1060,1060,0,AFC,2020/2/20
43846,148,Botswana,BOT,1055,1055,0,CAF,2020/2/20
43848,149,Burundi,BDI,1052,1049,2,CAF,2020/2/20
20000,149,Afghanistan,AFG,1052,1052,0,AFC,2020/2/20
43913,151,Nicaragua,NCA,1050,1050,1,CONCACAF,2020/2/20
43865,152,Liberia,LBR,1047,1047,0,CAF,2020/2/20
43885,153,Swaziland,SWZ,1042,1042,0,CAF,2020/2/20
43827,154,Malaysia,MAS,1040,1040,0,AFC,2020/2/20
43828,155,Maldives,MDV,1038,1038,0,AFC,2020/2/20
20010,156,New Caledonia,NCL,1035,1035,0,OFC,2020/2/20
43903,158,Dominican Republic,DOM,1019,1019,0,CONCACAF,2020/2/20
43857,146,Ethiopia,ETH,1061,1061,0,CAF,2020/2/20
20001,135,Andorra,AND,1082,1082,0,UEFA,2020/2/20
43844,124,Angola,ANG,1136,1136,0,CAF,2020/2/20
1896913,133,Comoros,COM,1088,1088,0,CAF,2020/2/20
43905,159,Grenada,GRN,1015,1015,0,CONCACAF,2020/2/20
43892,111,Zimbabwe,ZIM,1180,1180,0,CAF,2020/2/20
43875,112,Niger,NIG,1179,1179,0,CAF,2020/2/20
43839,113,Thailand,THA,1178,1178,0,AFC,2020/2/20
43994,114,Azerbaijan,AZE,1177,1177,0,UEFA,2020/2/20
1942535,115,Kosovo,KVX,1174,1174,0,UEFA,2020/2/20
43821,116,Korea DPR,PRK,1170,1170,0,AFC,2020/2/20
43874,117,Namibia,NAM,1160,1160,0,CAF,2020/2/20
44027,118,Kazakhstan,KAZ,1155,1155,0,UEFA,2020/2/20
43881,118,Sierra Leone,SLE,1155,1155,0,CAF,2020/2/20
43886,134,Tanzania,TAN,1086,1086,0,CAF,2020/2/20
43862,118,Guinea-Bissau,GNB,1155,1155,0,CAF,2020/2/20
43978,122,New Zealand,NZL,1149,1149,0,OFC,2020/2/20
43868,123,Malawi,MWI,1141,1141,0,CAF,2020/2/20
43833,124,Philippines,PHI,1136,1136,0,AFC,2020/2/20
1882218,126,Antigua and Barbuda,ATG,1127,1127,0,CONCACAF,2020/2/20
43887,126,Togo,TOG,1127,1127,0,CAF,2020/2/20
43884,128,Sudan,SDN,1112,1112,0,CAF,2020/2/20
44004,129,Turkmenistan,TKM,1107,1107,0,AFC,2020/2/20
43906,130,Guatemala,GUA,1106,1106,0,CONCACAF,2020/2/20
43877,131,Rwanda,RWA,1089,1089,0,CAF,2020/2/20
43957,131,Lithuania,LTU,1089,1089,0,UEFA,2020/2/20
44003,121,Tajikistan,TJK,1152,1152,0,AFC,2020/2/20
43946,2,France,FRA,1733,1733,0,UEFA,2020/2/20
43959,184,Malta,MLT,919,919,0,UEFA,2020/2/20
43981,161,Tahiti,TAH,1014,1014,0,OFC,2020/2/20
20003,189,Bhutan,BHU,911,911,0,AFC,2020/2/20
20008,190,Mongolia,MNG,906,906,0,AFC,2020/2/20
43810,191,Brunei Darussalam,BRU,904,904,0,AFC,2020/2/20
20012,192,American Samoa,ASA,900,900,0,OFC,2020/2/20
43900,193,Cayman Islands,CAY,897,897,0,CONCACAF,2020/2/20
1882637,194,Samoa,SAM,894,894,0,OFC,2020/2/20
43895,195,Bahamas,BAH,880,880,0,CONCACAF,2020/2/20
1890334,196,Timor-Leste,TLS,879,879,0,AFC,2020/2/20
1941613,196,Gibraltar,GIB,879,879,0,UEFA,2020/2/20
43882,196,Somalia,SOM,879,879,0,CAF,2020/2/20
20007,199,Guam,GUM,873,873,0,AFC,2020/2/20
43832,200,Pakistan,PAK,867,867,1,AFC,2020/2/20
43894,200,Aruba,ARU,867,867,1,CONCACAF,2020/2/20
43880,202,Seychelles,SEY,866,868,2,CAF,2020/2/20
44039,203,Tonga,TGA,862,862,0,OFC,2020/2/20
20011,203,Turks and Caicos Islands,TCA,862,862,0,CONCACAF,2020/2/20
20006,205,Eritrea,ERI,856,856,0,CAF,2020/2/20
43837,206,Sri Lanka,SRI,853,856,1,AFC,2020/2/20
1881967,207,US Virgin Islands,VIR,844,844,0,CONCACAF,2020/2/20
20004,208,British Virgin Islands,VGB,842,842,0,CONCACAF,2020/2/20
43966,209,San Marino,SMR,824,824,0,UEFA,2020/2/20
20002,210,Anguilla,AIA,821,821,0,CONCACAF,2020/2/20
43924,3,Brazil,BRA,1712,1712,0,CONMEBOL,2020/2/20
43824,188,Laos,LAO,912,912,0,AFC,2020/2/20
43859,159,Gambia,GAM,1015,1015,0,CAF,2020/2/20
43809,187,Bangladesh,BAN,914,915,0,AFC,2020/2/20
43944,110,Faroe Islands,FRO,1181,1181,0,UEFA,2020/2/20
43896,162,Barbados,BRB,1009,1011,0,CONCACAF,2020/2/20
43982,163,Vanuatu,VAN,996,996,0,OFC,2020/2/20
43977,163,Fiji,FIJ,996,996,0,OFC,2020/2/20
43979,165,Papua New Guinea,PNG,991,991,0,OFC,2020/2/20
43907,166,Guyana,GUY,988,988,0,CONCACAF,2020/2/20
43918,167,St. Vincent / Grenadines,VIN,986,986,0,CONCACAF,2020/2/20
43898,168,Bermuda,BER,984,984,0,CONCACAF,2020/2/20
1935341,169,South Sudan,SSD,983,983,0,CAF,2020/2/20
43830,170,Nepal,NEP,974,974,0,AFC,2020/2/20
44011,170,Belize,BLZ,974,974,0,CONCACAF,2020/2/20
43871,172,Mauritius,MRI,965,968,0,CAF,2020/2/20
43816,173,Indonesia,IDN,964,964,0,AFC,2020/2/20
44009,173,Cambodia,CAM,964,964,0,AFC,2020/2/20
44036,175,Moldova,MDA,959,959,0,UEFA,2020/2/20
43917,176,St. Lucia,LCA,953,953,0,CONCACAF,2020/2/20
43852,177,Chad,CHA,943,943,0,CAF,2020/2/20
43915,178,Puerto Rico,PUR,941,941,0,CONCACAF,2020/2/20
43902,179,Cuba,CUB,936,936,0,CONCACAF,2020/2/20
43956,180,Liechtenstein,LIE,926,926,0,UEFA,2020/2/20
43878,181,São Tomé and Príncipe,STP,923,923,0,CAF,2020/2/20
43826,182,Macau,MAC,922,922,0,AFC,2020/2/20
20009,183,Montserrat,MSR,921,921,0,CONCACAF,2020/2/20
43996,184,Djibouti,DJI,919,919,0,CAF,2020/2/20
43997,184,Dominica,DMA,919,919,0,CONCACAF,2020/2/20
